Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2024,26.0,35.0,29.9,83.0,3.8,6.5,3,60,1,C 
02-01-2024,26.2,35.2,30.6,78.0,21.2,6.7,4,160,2,C 
03-01-2024,27.0,35.8,27.8,90.0,0.0,8.9,4,60,1,C 
04-01-2024,25.8,34.4,29.0,82.0,1.5,1.9,4,70,2,W 
05-01-2024,25.5,33.4,28.8,83.0,2.2,6.0,5,110,2,W 
06-01-2024,25.4,31.3,28.0,87.0,0.0,3.8,3,90,1,C 
07-01-2024,26.0,31.8,27.7,88.0,2.1,2.0,4,340,1,C 
08-01-2024,25.5,31.8,27.0,91.0,8888.0,0.0,5,240,2,SW
09-01-2024,24.8,34.0,27.7,89.0,78.1,0.6,6,200,2,SW
10-01-2024,25.0,33.6,28.7,86.0,26.5,4.5,5,230,2,NW
11-01-2024,25.1,34.6,28.5,83.0,3.3,5.0,5,190,1,C 
12-01-2024,25.0,35.0,30.1,71.0,5.1,7.5,5,250,2,S 
13-01-2024,25.2,34.6,30.6,70.0,0.0,8.5,6,140,3,E 
14-01-2024,27.2,34.0,30.3,71.0,0.0,9.8,6,140,2,C 
15-01-2024,27.0,33.0,27.7,85.0,,4.3,6,150,2,C 
16-01-2024,24.6,32.6,28.9,81.0,18.3,0.0,4,70,2,C 
17-01-2024,26.4,31.8,26.4,91.0,17.2,4.0,8,130,2,C 
18-01-2024,24.0,33.8,27.2,88.0,23.6,0.0,3,230,2,SW
19-01-2024,25.0,32.0,26.6,88.0,0.0,3.1,8,240,2,W 
20-01-2024,23.6,34.2,29.3,75.0,36.3,1.6,6,240,2,C 
21-01-2024,25.8,34.2,29.4,74.0,8888.0,4.5,6,240,2,W 
22-01-2024,25.6,34.1,28.6,78.0,0.0,8.8,6,280,3,W 
23-01-2024,26.0,32.8,29.2,77.0,1.5,8.4,7,220,2,W 
24-01-2024,25.8,33.4,27.8,82.0,,0.5,7,280,3,W 
25-01-2024,24.6,34.0,28.0,81.0,5.5,4.5,6,240,3,SW
26-01-2024,,33.5,28.3,81.0,4.3,7.6,6,300,3,W 
27-01-2024,25.9,34.0,28.9,78.0,0.0,6.5,7,300,3,W 
28-01-2024,26.0,,28.5,81.0,0.0,6.1,5,310,2,C 
29-01-2024,25.4,32.3,27.0,90.0,1.0,6.5,4,310,1,C 
30-01-2024,23.0,32.2,27.1,90.0,73.0,1.3,10,200,2,C 
31-01-2024,24.6,33.4,26.9,87.0,34.0,5.2,6,260,2,W 
01-02-2024,24.6,33.0,27.2,88.0,27.2,4.5,6,140,2,SW
02-02-2024,24.8,32.6,28.3,82.0,24.0,6.4,5,180,2,W 
03-02-2024,25.4,31.8,27.9,83.0,0.0,7.3,6,200,3,W 
04-02-2024,25.0,33.4,27.4,84.0,5.0,3.0,7,320,3,SW
05-02-2024,24.6,32.8,27.4,82.0,16.6,4.5,6,290,3,W 
06-02-2024,23.2,34.0,27.1,86.0,60.3,5.0,7,120,2,W 
07-02-2024,24.6,30.5,27.7,84.0,33.8,6.0,4,290,2,W 
08-02-2024,25.4,33.8,28.0,82.0,0.0,0.0,4,30,2,SW
09-02-2024,25.0,34.6,28.7,81.0,0.3,7.0,6,160,2,NE
10-02-2024,25.4,30.6,27.1,88.0,7.8,7.9,6,300,2,SW
11-02-2024,25.3,32.6,26.2,90.0,0.2,0.3,4,330,2,C 
12-02-2024,24.0,34.4,27.9,85.0,84.5,3.0,6,120,2,SW
13-02-2024,25.0,33.0,29.5,79.0,19.2,7.3,4,100,2,E 
14-02-2024,26.4,33.6,29.0,86.0,0.8,7.3,4,70,1,C 
15-02-2024,24.5,34.8,29.3,82.0,0.5,0.2,5,200,2,SW
16-02-2024,26.4,34.4,29.2,81.0,0.1,5.9,6,330,2,C 
17-02-2024,25.6,34.2,28.0,85.0,8888.0,8.0,7,320,2,SW
18-02-2024,25.0,33.8,28.1,83.0,40.0,7.0,4,40,2,W 
19-02-2024,25.2,34.8,29.4,82.0,,4.0,4,190,2,NW
20-02-2024,26.6,33.4,29.4,80.0,17.9,8.5,5,150,2,SW
21-02-2024,26.2,33.6,28.4,87.0,8888.0,4.8,11,170,2,C 
22-02-2024,25.6,35.0,29.0,82.0,26.0,5.2,5,280,2,W 
23-02-2024,26.2,33.2,29.2,83.0,12.5,8.7,7,280,2,W 
24-02-2024,23.4,33.4,28.6,82.0,,4.0,5,260,2,W 
25-02-2024,25.2,32.0,27.8,82.0,8888.0,2.0,5,300,3,W 
26-02-2024,25.2,34.1,27.4,85.0,0.4,3.3,5,240,2,SW
27-02-2024,24.8,33.6,28.9,81.0,69.0,6.5,3,50,2,SW
28-02-2024,25.6,31.4,28.8,84.0,0.0,6.0,3,100,1,E 
29-02-2024,26.8,33.2,29.4,82.0,8888.0,2.0,3,70,2,C 
01-03-2024,25.0,34.6,27.9,86.0,4.0,3.8,6,240,2,SW
02-03-2024,25.0,32.2,28.8,82.0,10.8,5.6,5,300,3,W 
03-03-2024,26.0,33.4,28.5,84.0,1.0,4.5,6,320,3,SW
04-03-2024,,34.0,28.7,85.0,0.5,5.0,8,190,2,C 
05-03-2024,26.4,33.0,28.9,85.0,8888.0,5.5,6,310,2,C 
06-03-2024,25.2,34.6,30.2,78.0,8888.0,6.1,5,320,2,W 
07-03-2024,26.2,35.0,28.9,85.0,14.5,7.8,5,290,2,W 
08-03-2024,26.0,34.5,29.0,83.0,2.8,1.6,6,260,2,W 
09-03-2024,24.8,30.2,25.9,91.0,21.6,7.8,8,300,4,W 
10-03-2024,23.6,30.4,27.9,81.0,14.7,0.4,5,260,2,W 
11-03-2024,25.0,31.6,28.7,87.0,,0.6,4,250,3,W 
12-03-2024,25.3,29.4,27.3,92.0,4.2,0.0,5,280,2,W 
13-03-2024,25.3,30.2,26.8,92.0,0.1,0.0,6,260,3,W 
14-03-2024,25.0,30.2,26.6,90.0,21.2,,5,280,3,W 
15-03-2024,25.0,30.8,27.6,88.0,18.0,0.6,7,280,4,W 
16-03-2024,25.4,33.2,28.7,84.0,5.7,3.2,9,290,4,W 
17-03-2024,25.4,33.0,28.2,83.0,0.0,7.3,6,290,4,W 
18-03-2024,24.8,33.2,28.5,79.0,0.5,5.8,6,260,3,W 
19-03-2024,25.4,34.4,29.4,77.0,,5.5,5,310,2,W 
20-03-2024,25.6,34.2,29.6,78.0,4.0,9.2,8,320,2,W 
21-03-2024,26.4,34.6,29.4,76.0,0.0,4.8,6,300,3,W 
22-03-2024,26.2,33.8,29.8,78.0,0.0,8.1,4,80,2,E 
23-03-2024,24.8,34.0,30.2,77.0,0.0,7.4,5,60,2,NE
24-03-2024,26.5,34.6,29.6,79.0,0.0,9.4,6,110,2,E 
25-03-2024,25.6,34.0,29.5,81.0,0.0,8.0,4,80,2,NE
26-03-2024,26.2,33.6,29.6,76.0,0.5,6.0,5,50,2,NE
27-03-2024,25.8,34.8,30.6,69.0,0.0,8.4,5,50,2,E 
28-03-2024,26.8,32.6,28.1,85.0,0.0,9.0,5,190,2,C 
29-03-2024,25.6,32.8,29.6,79.0,1.5,1.1,4,60,2,E 
30-03-2024,26.4,34.2,30.5,76.0,0.0,7.4,4,50,2,E 
31-03-2024,27.2,35.0,30.5,78.0,,8.0,4,110,2,E 
01-04-2024,27.0,32.8,28.7,83.0,,7.7,4,70,2,SW
02-04-2024,26.5,34.4,30.0,79.0,0.5,3.6,5,110,2,E 
03-04-2024,27.0,35.0,30.4,76.0,0.0,6.7,3,60,2,W 
04-04-2024,26.8,35.0,29.4,81.0,0.5,8.0,5,220,2,C 
05-04-2024,25.0,,30.1,80.0,79.5,7.1,3,170,2,NE
06-04-2024,25.0,35.0,29.9,78.0,78.5,4.7,10,200,2,E 
07-04-2024,27.2,35.2,28.8,84.0,,7.5,5,140,2,SE
08-04-2024,24.0,32.0,28.1,89.0,50.3,7.0,3,150,1,C 
09-04-2024,25.4,29.4,27.4,90.0,7.9,0.0,3,70,1,C 
10-04-2024,25.8,31.8,28.6,86.0,26.5,0.2,3,80,1,E 
11-04-2024,26.0,31.6,27.8,87.0,3.0,3.0,3,40,2,NE
12-04-2024,25.6,33.6,29.0,82.0,1.0,1.9,4,50,2,C 
13-04-2024,26.0,33.9,29.3,84.0,1.7,8.6,4,70,1,C 
14-04-2024,26.5,33.4,29.5,82.0,15.0,8.0,3,80,1,C 
15-04-2024,26.6,33.4,29.2,84.0,19.5,7.8,4,140,2,C 
16-04-2024,25.4,34.0,30.0,78.0,12.0,7.1,6,60,2,E 
17-04-2024,25.8,33.2,28.7,83.0,0.0,7.2,6,90,2,E 
18-04-2024,25.8,33.6,29.5,78.0,0.0,5.0,5,110,2,E 
19-04-2024,23.2,34.2,29.9,80.0,3.0,9.8,5,80,2,E 
20-04-2024,26.4,33.8,30.1,76.0,0.0,7.8,5,60,3,E 
21-04-2024,25.0,34.0,28.3,86.0,28.0,10.0,3,150,2,SW
22-04-2024,25.6,33.6,29.4,80.0,1.5,5.6,4,210,2,E 
23-04-2024,26.2,32.0,28.5,87.0,5.3,4.5,4,90,2,W 
24-04-2024,26.0,30.2,28.4,89.0,2.5,4.5,4,80,2,E 
25-04-2024,26.3,29.5,26.4,96.0,4.5,0.0,4,90,1,C 
26-04-2024,25.0,32.4,29.6,82.0,11.3,0.0,6,80,3,E 
27-04-2024,25.0,36.6,30.5,77.0,2.0,4.6,6,80,3,E 
28-04-2024,27.0,33.8,30.2,78.0,,8.7,5,80,3,E 
29-04-2024,26.5,33.6,30.1,78.0,,8.7,5,60,2,E 
30-04-2024,26.4,35.2,30.0,75.0,,6.5,6,80,3,E 
01-05-2024,26.2,34.4,29.9,79.0,0.0,8.8,6,110,3,E 
02-05-2024,26.4,34.0,29.6,79.0,0.0,8.7,5,90,2,E 
03-05-2024,25.6,33.8,29.8,77.0,0.5,9.0,4,70,2,E 
04-05-2024,24.2,34.0,28.9,76.0,0.0,8.0,5,70,2,E 
05-05-2024,24.4,32.7,28.6,77.0,,6.9,3,50,2,NE
06-05-2024,24.8,33.2,28.8,72.0,,9.0,6,90,2,E 
07-05-2024,24.6,33.4,29.5,75.0,,7.4,4,60,2,NE
08-05-2024,25.2,34.0,29.5,76.0,,,4,60,2,NE
09-05-2024,26.2,33.6,29.8,79.0,,9.3,5,80,3,E 
10-05-2024,27.0,33.2,30.2,78.0,0.0,9.2,6,90,4,E 
11-05-2024,27.8,33.2,29.8,75.0,8888.0,9.6,9,60,4,E 
12-05-2024,26.0,33.0,29.5,75.0,,9.8,7,50,3,NE
13-05-2024,25.4,33.6,29.3,76.0,0.0,9.2,7,90,3,E 
14-05-2024,,33.0,29.4,78.0,,9.0,5,80,3,E 
15-05-2024,25.4,33.2,29.1,74.0,,9.0,6,60,3,E 
16-05-2024,24.7,34.0,29.5,78.0,0.0,9.5,5,90,2,E 
17-05-2024,25.4,33.1,29.7,82.0,,,5,90,3,E 
18-05-2024,25.8,33.4,29.5,73.0,,9.0,6,60,3,NE
19-05-2024,25.4,33.6,29.0,73.0,0.0,8.6,5,100,2,E 
20-05-2024,25.0,33.2,29.2,75.0,8888.0,9.8,5,90,2,E 
21-05-2024,25.2,32.8,29.2,74.0,,9.3,5,70,3,E 
22-05-2024,25.2,32.0,29.2,77.0,,9.8,6,80,3,E 
23-05-2024,25.6,32.8,29.9,74.0,,8.1,5,80,3,E 
24-05-2024,26.4,33.6,29.9,80.0,0.0,8.8,6,100,3,E 
25-05-2024,27.0,33.6,29.7,80.0,,8.0,5,120,2,C 
26-05-2024,25.8,33.8,29.3,78.0,,8.0,4,80,2,E 
27-05-2024,25.5,33.2,29.7,76.0,0.0,9.2,5,90,2,E 
28-05-2024,,33.3,29.8,75.0,,8.9,6,230,3,E 
29-05-2024,,33.0,29.9,77.0,,9.2,5,120,2,E 
30-05-2024,26.0,33.6,29.6,78.0,,8.8,5,60,2,E 
31-05-2024,,34.4,30.2,74.0,,9.0,5,80,2,E 
01-06-2024,25.4,34.2,30.2,74.0,,8.5,5,80,2,NE
02-06-2024,27.0,34.0,29.4,78.0,0.9,8.0,4,100,2,SW
03-06-2024,26.0,33.5,28.8,75.0,0.0,6.8,4,90,2,E 
04-06-2024,26.4,34.4,29.2,73.0,,6.3,5,90,2,E 
05-06-2024,24.8,34.0,28.9,76.0,0.0,5.5,5,80,2,E 
06-06-2024,24.8,33.7,29.0,74.0,0.0,8.9,6,80,3,E 
07-06-2024,25.0,32.8,29.3,76.0,,9.0,6,80,3,E 
08-06-2024,25.8,32.8,28.8,78.0,,8.9,5,100,2,E 
09-06-2024,25.8,32.2,28.5,83.0,10.0,8.8,5,80,2,E 
10-06-2024,25.4,33.0,29.3,78.0,,4.1,5,110,2,E 
11-06-2024,25.8,32.6,29.5,78.0,0.5,9.1,5,90,3,E 
12-06-2024,26.0,33.6,28.6,77.0,8888.0,9.0,6,80,3,E 
13-06-2024,25.1,34.4,28.9,77.0,,7.0,4,330,2,NE
14-06-2024,25.6,31.7,28.5,85.0,,6.5,4,60,2,NE
15-06-2024,,31.4,27.9,85.0,35.8,4.5,5,40,2,C 
16-06-2024,24.9,32.6,28.9,78.0,0.3,5.0,5,70,3,E 
17-06-2024,25.0,32.2,29.4,72.0,0.0,8.0,6,60,4,E 
18-06-2024,,32.4,28.3,72.0,,5.0,7,100,4,E 
19-06-2024,23.8,31.4,27.8,73.0,,8.0,5,110,2,E 
20-06-2024,23.8,31.1,27.6,77.0,,9.3,6,60,3,E 
21-06-2024,23.2,,27.6,73.0,0.0,9.2,8,120,3,E 
22-06-2024,23.0,32.9,28.0,78.0,,8.7,6,100,2,E 
23-06-2024,24.6,31.2,28.0,77.0,0.0,8.8,5,100,2,E 
24-06-2024,,31.6,27.9,80.0,,0.8,5,80,2,E 
25-06-2024,25.2,37.0,28.7,81.0,8888.0,1.6,5,80,3,E 
26-06-2024,,31.6,29.1,77.0,,8.2,5,90,3,E 
27-06-2024,24.8,31.8,28.9,82.0,,9.0,10,90,3,NE
28-06-2024,24.0,31.6,28.5,82.0,32.4,8.2,6,90,3,E 
29-06-2024,25.0,33.5,28.9,78.0,16.5,4.5,5,100,2,E 
30-06-2024,26.2,33.2,28.9,77.0,,8.0,4,80,2,NE
01-07-2024,25.2,32.6,29.0,74.0,0.0,4.9,4,100,2,C 
02-07-2024,25.0,32.4,28.2,82.0,0.0,8.6,3,60,1,C 
03-07-2024,25.0,31.2,28.2,87.0,20.0,2.5,6,80,2,E 
04-07-2024,25.8,32.0,28.0,83.0,4.5,0.8,5,90,3,E 
05-07-2024,24.4,32.0,28.7,81.0,0.0,1.5,6,90,3,E 
06-07-2024,,32.4,28.3,83.0,,9.5,6,100,3,E 
07-07-2024,25.4,31.4,28.4,81.0,0.0,9.1,4,110,2,E 
08-07-2024,,30.9,,,,,6,90,3,E
09-07-2024,23.7,32.0,27.4,73.0,0.0,8.0,5,90,2,E
10-07-2024,24.2,32.4,27.7,75.0,0.0,8.0,5,90,2,NE
11-07-2024,24.0,32.4,27.5,71.0,0.0,6.5,6,90,3,NE
12-07-2024,23.0,31.6,27.2,71.0,0.0,8.0,6,100,3,NE
13-07-2024,22.8,32.2,27.0,70.0,0.0,8.0,5,60,2,E
14-07-2024,21.2,31.4,26.3,69.0,0.0,8.0,8,100,3,NE
15-07-2024,21.6,32.0,26.4,71.0,0.0,8.0,5,40,2,NE
16-07-2024,22.6,31.8,27.2,73.0,0.0,8.0,6,90,3,E
17-07-2024,23.0,31.1,26.4,80.0,0.0,8.0,6,70,4,E
18-07-2024,23.4,31.8,26.8,80.0,0.0,8.0,6,60,3,E
19-07-2024,23.4,31.6,27.2,79.0,0.0,8.0,6,90,3,NE
20-07-2024,23.0,32.0,26.9,74.0,0.0,8.0,5,110,3,NE
21-07-2024,23.6,31.4,27.0,73.0,0.0,7.8,7,90,3,E
22-07-2024,23.0,31.8,26.9,72.0,0.0,8.0,5,40,3,E
23-07-2024,22.6,32.6,27.1,74.0,0.0,8.0,4,70,2,E
24-07-2024,23.0,31.9,26.8,77.0,0.0,8.0,6,90,3,E
25-07-2024,23.4,32.2,27.9,65.0,0.0,7.5,5,80,3,E
26-07-2024,23.0,32.0,26.9,72.0,0.0,8.0,5,60,2,NE
27-07-2024,23.4,32.6,27.4,74.0,0.0,8.0,5,80,2,E
28-07-2024,22.6,32.9,27.8,77.0,0.0,8.0,5,120,2,E
29-07-2024,23.2,31.8,27.4,79.0,0.0,8.0,6,100,2,E
30-07-2024,23.6,33.0,27.7,79.0,0.0,8.0,6,80,3,E
31-07-2024,24.9,32.0,28.0,80.0,0.0,8.0,7,90,4,E
01-08-2024,25.8,32.0,28.8,77.0,0.0,8.0,6,90,3,E
02-08-2024,25.9,31.8,28.2,80.0,1.0,8.0,6,70,3,E
03-08-2024,24.4,32.2,27.9,81.0,0.0,8.0,6,90,3,E
04-08-2024,24.0,32.8,28.0,78.0,0.0,8.0,6,150,3,NE
05-08-2024,23.2,32.4,27.7,69.0,0.0,7.6,7,50,3,E
06-08-2024,23.2,32.0,27.2,73.0,0.0,8.0,6,100,2,E
07-09-2024,24.0,33.4,28.2,71.0,0.0,8.0,6,90,3,E
08-09-2024,25.2,32.8,28.6,73.0,0.0,8.0,8,110,3,E
09-09-2024,24.8,33.6,29.2,71.0,0.0,7.4,6,100,3,E
10-09-2024,26.1,33.2,29.0,70.0,0.0,8.0,4,80,1,C
11-09-2024,25.2,34.2,29.3,66.0,8888.0,4.0,7,80,3,E
12-09-2024,24.5,33.4,29.0,66.0,0.0,8.0,6,80,4,E
13-09-2024,23.6,34.4,28.8,71.0,0.0,8.0,8,100,3,E
14-09-2024,24.0,33.6,28.8,71.0,0.0,8.0,5,60,3,E
15-09-2024,23.9,33.8,28.5,73.0,0.0,8.0,6,100,3,E
16-09-2024,24.4,33.9,28.5,63.0,0.0,8.0,6,110,3,E
17-09-2024,23.4,33.4,28.5,53.0,0.0,8.0,6,100,3,W
18-09-2024,23.2,33.0,28.9,61.0,0.0,8.0,7,120,3,E
19-09-2024,23.4,34.2,28.5,66.0,0.0,8.0,5,100,3,E
20-09-2024,24.4,33.2,28.4,71.0,0.0,8.0,8,80,4,E
21-09-2024,24.8,33.4,28.9,67.0,0.0,8.0,7,100,4,E
22-09-2024,26.8,33.6,29.8,68.0,0.0,8.0,7,90,4,E
23-09-2024,28.0,32.4,28.9,80.0,8888.0,8.0,6,100,2,E
24-09-2024,24.8,34.0,29.8,75.0,30.2,2.7,5,90,2,E
25-09-2024,25.0,33.7,29.3,78.0,0.0,7.5,5,80,2,W
26-09-2024,25.4,34.6,29.8,75.0,0.0,6.6,3,60,2,E
27-09-2024,24.8,35.0,30.3,77.0,8888.0,4.9,4,90,2,E
28-09-2024,26.3,33.5,29.9,72.0,0.0,6.4,7,90,4,E
29-09-2024,25.6,34.6,30.4,68.0,0.0,8.0,6,100,3,E
30-09-2024,25.0,34.4,30.2,70.0,0.0,8.0,6,100,4,E
01-10-2024,25.4,35.2,30.4,66.0,0.0,8.0,9,110,4,E
02-10-2024,25.2,35.0,29.7,67.0,0.0,8.0,7,70,3,E
03-10-2024,24.6,33.0,29.3,69.0,0.0,8.0,6,110,3,E
04-10-2024,25.2,33.8,29.2,72.0,0.0,2.5,7,100,3,E
05-10-2024,25.4,34.0,29.2,71.0,0.0,8.0,7,90,3,E
06-10-2024,25.6,33.9,29.7,67.0,0.0,8.0,7,80,3,E
07-10-2024,24.4,34.2,29.6,68.0,0.0,8.0,6,70,3,E
08-10-2024,25.0,34.6,29.3,70.0,0.0,8.0,7,90,3,E
09-10-2024,25.6,34.2,30.3,64.0,0.0,8.0,6,110,3,E
10-10-2024,25.4,35.2,30.5,64.0,0.0,8.0,7,80,4,E
11-10-2024,25.4,35.2,30.3,62.0,0.0,8.0,7,100,3,E
12-10-2024,27.2,35.0,31.0,64.0,0.0,8.0,8,100,4,E
13-10-2024,26.8,35.0,30.7,65.0,0.0,8.0,8,90,3,E
14-10-2024,26.2,34.6,30.1,68.0,0.0,8.0,6,90,3,E
15-10-2024,26.2,33.5,30.3,61.0,0.0,8.0,6,80,3,E
16-10-2024,24.4,34.7,29.6,61.0,0.0,5.5,7,100,3,E
17-10-2024,24.4,34.8,29.7,60.0,0.0,8.0,6,88,3,SW
18-10-2024,24.2,34.7,29.3,69.0,0.0,8.0,6,80,2,E
19-10-2024,24.8,35.4,30.1,71.0,0.0,8.0,6,110,2,NE
20-10-2024,24.4,35.5,29.2,78.0,8.1,6.3,7,240,2,W
21-10-2024,25.2,34.6,29.2,75.0,8888.0,6.2,5,140,2,NE
22-10-2024,25.0,34.2,30.0,72.0,8888.0,7.4,5,80,3,E
23-10-2024,23.8,35.0,30.2,73.0,0.0,7.7,6,110,3,E
24-10-2024,25.6,34.6,29.8,73.0,0.0,7.8,5,300,2,W
25-10-2024,25.2,34.6,30.8,65.0,0.0,7.2,6,70,3,S
26-10-2024,25.0,35.3,31.0,69.0,0.0,8.0,7,115,3,E
27-10-2024,26.0,35.6,30.9,64.0,0.0,8.0,5,110,2,E
28-10-2024,26.2,35.8,30.8,63.0,0.0,8.0,6,120,3,E
29-10-2024,25.8,35.2,30.4,73.0,0.0,8.0,8,110,3,E
30-10-2024,25.8,36.4,31.0,67.0,0.0,8.0,5,70,3,E
31-10-2024,26.4,36.0,30.3,73.0,0.0,8.0,5,110,2,E
01-11-2024,25.2,31.4,28.8,81.0,6.9,7.1,6,100,2,E
02-11-2024,25.2,34.0,29.4,80.0,25.5,0.5,4,50,2,E
03-11-2024,23.4,33.2,28.8,79.0,50.0,6.0,5,100,2,W
04-11-2024,25.4,34.0,29.1,75.0,8888.0,6.3,5,70,2,W
05-11-2024,25.0,34.2,29.9,69.0,0.0,6.3,7,90,3,E
06-11-2024,24.4,35.0,30.8,61.0,0.0,8.0,5,100,3,E
07-11-2024,24.0,35.2,30.5,59.0,0.0,8.0,4,80,2,NE
08-11-2024,26.2,35.2,30.2,68.0,8888.0,8.0,6,50,3,E
09-11-2024,26.8,35.6,30.4,72.0,0.0,7.9,6,100,3,E
10-11-2024,26.4,35.0,30.2,78.0,0.0,8.0,5,110,3,E
11-11-2024,26.2,34.6,30.1,74.0,0.0,8.0,5,70,2,E
12-11-2024,25.4,34.4,29.4,75.0,0.0,6.2,5,100,2,NE
13-11-2024,25.9,34.2,30.5,73.0,11.0,6.3,4,70,2,E
14-11-2024,25.8,35.0,30.7,70.0,0.0,6.3,5,80,3,E
15-11-2024,27.7,35.4,30.8,64.0,0.0,7.0,7,100,3,E
16-11-2024,25.2,33.6,29.4,75.0,17.0,8.0,4,300,2,C
17-11-2024,26.0,34.0,29.9,77.0,12.1,7.9,5,70,2,E
